ufs_serial,run_wf_xy,prob,health
S00324,0000023_18_39_23,0.4328800651306023,0.002440437609255
S00325,0000023_18_17_18,0.4751397567681973,0.0
S00326,0000023_10_62_21,0.41691287006473565,0.0
S00327,0000023_15_55_16,0.45576451654761196,0.0044787484736659
S00328,0000023_10_48_17,0.4485274613423759,0.0
S00329,0000023_10_37_27,0.46328114188458525,0.0021770745724698
S00331,0000023_11_50_17,0.49338143153301245,0.0
S00332,0000023_14_40_12,0.5034589269479741,0.0
S00334,0000023_13_40_16,0.474019306316906,0.0072413089722295
S00335,0000023_13_34_20,0.47115409986268864,0.0
S00336,0000023_13_42_31,0.4156210298620079,0.0
S00339,0000023_16_61_22,0.5002028323645711,0.0
S00340,0000023_11_34_26,0.48384186159222226,0.0
S00341,0000023_23_58_19,0.5219654846264092,0.0
S00342,0000023_21_17_17,0.4291043705449038,0.0239999227366672
S00343,0000023_18_55_23,0.46222985090451124,0.0071593200806683
S00344,0000023_22_50_14,0.4479051761112074,0.0
S00347,0000023_17_36_15,0.4588036534698144,0.0
S00349,0000023_18_32_24,0.45194512797565245,0.0
S00350,0000023_13_61_27,0.45644474993930645,0.0022072702240579
S00351,0000009_7_28_30,0.4867871015403814,0.0
S00352,0000001_20_27_14,0.4881373776190218,0.0
S00354,0000003_16_18_18,0.503813118486572,0.0047855643499528
S00356,0000005_22_37_28,0.47459762463787664,0.0
S00357,0000003_22_47_28,0.5189635647007578,0.0
S00358,0000007_8_43_31,0.5546134493502956,0.0
S00360,0000007_10_28_25,0.5685267490769699,0.0
S00361,0000007_25_43_25,0.6131032630930131,0.0024229128580134
S00362,0000007_5_38_13,0.5392625044773159,0.0
S00363,0000005_19_31_30,0.5179957837925658,0.0
S00366,0000009_21_58_28,0.47124114234767744,0.0044445636815653
S00369,0000008_3_52_22,0.5358805260903281,0.0
S00371,0000008_2_37_19,0.5238112047293426,0.0087046378029984
S00373,0000009_21_50_18,0.4965774632729274,0.0023894345645892
S00376,0000008_2_39_24,0.5631547253320835,0.0022044799290308
S00377,0000008_2_51_28,0.5104508679017824,0.0066640743372799
S00378,0000009_25_19_20,0.48575498445414567,0.0
S00379,0000009_25_34_14,0.4570259205107786,0.0024318042813455
S00380,0000008_4_52_15,0.5218241799159198,0.0
S00383,0000007_6_45_25,0.6104358752759168,0.0
S00384,0000008_4_36_13,0.5085165687464129,0.0043461531734788
S00388,0000009_5_43_17,0.5034708235849267,0.0
S00389,0000009_9_38_25,0.5006704694856495,0.0120899864747837
S00390,0000009_4_43_13,0.48878544804914426,0.0
S00393,0000007_5_36_28,0.6064667174417244,0.0
S00395,0000009_8_26_23,0.5524647363440897,0.0
S00396,0000009_8_50_13,0.5123978063834721,0.0
S00398,0000009_13_56_20,0.5216508889325449,0.0
S00400,0000007_4_58_17,0.5624187826206117,0.0
S00402,0000009_25_35_12,0.4691166373890346,0.0
S00403,0000009_13_37_30,0.4949460514003845,0.0043498619334567
S00404,0000009_13_46_13,0.5060050123447521,0.0
S00405,0000009_16_19_27,0.4544011802223617,0.0
S00406,0000009_21_42_15,0.45412136323212066,0.0
S00408,0000002_8_57_23,0.5274553237662883,0.0022408584697236
S00409,0000002_6_19_25,0.5346603414723611,0.002175502182068
S00410,0000002_3_21_17,0.5171242806191175,0.0
S00411,0000000_23_42_28,0.25432758714651077,0.0
S00412,0000000_2_32_24,0.22420948526437914,0.0
S00416,0000000_13_33_12,0.48482973633921606,0.0
S00417,0000004_23_31_27,0.5384756453798513,0.0065888903619249
