ufs_serial,position,split,health,clf_proba_mean,lds_weight
S03825,1,train,0.0,0.4014382722646335,1.0
S03826,1,train,0.0,0.5019933564895189,1.0
S03838,1,train,0.0,0.41058459567684746,1.0
S03843,1,train,0.0,0.44879051069971404,1.0
S03866,1,train,0.0,0.21132435407619013,1.0
S03938,1,train,0.0,0.41154875125981527,1.0
S03990,1,train,0.0,0.17020506422265913,1.0
S04020,1,train,0.0,0.42760643579084573,1.0
S04080,1,train,0.0,0.538212960620284,1.0
S04088,1,train,0.0,0.40126807467541264,1.0
S04152,1,train,0.0,0.25971757076824575,1.0
S04178,1,train,0.0,0.281553887688164,1.0
S04273,1,train,0.0,0.3623325495559675,1.0
S04377,1,train,0.0,0.30076867716209116,1.0
S04421,1,train,0.0,0.15814920201184557,1.0
S04425,1,train,0.0,0.4506698765562416,1.0
S04443,1,train,0.0,0.4418774037186393,1.0
S04457,1,train,0.0,0.4326529993039763,1.0
S04516,1,train,0.0,0.3671400732843491,1.0
S04521,1,train,0.0,0.42781634234305405,1.0
S04583,1,train,0.0,0.4328202926425995,1.0
S04615,1,train,0.0,0.34053582139753874,1.0
S04658,1,train,0.0034283191578889,0.42821677967612787,0.7354284870575705
S04688,1,train,0.0,0.33260843187370004,1.0
S04727,1,train,0.0,0.38719665735320263,1.0
S04730,1,train,0.0,0.3034547384683873,1.0
S04776,1,train,0.0,0.3604609374973624,1.0
S04791,1,train,0.0,0.575469586682158,1.0
S04805,1,train,0.0,0.3578712288302544,1.0
S04813,1,train,0.0,0.46695032938417014,1.0
S04883,1,train,0.0,0.2997496768328447,1.0
S04893,1,train,0.0,0.4759680126817664,1.0
S04904,1,train,0.0,0.3376649038989294,1.0
S04915,1,train,0.0,0.35226991301201743,1.0
S04936,1,train,0.0,0.456645794245073,1.0
S04968,1,train,0.0,0.5226592480162834,1.0
S04971,1,train,0.0,0.3844912502942777,1.0
S04989,1,train,0.0,0.28041098678921433,1.0
S05019,1,train,0.0,0.30598429144869865,1.0
S05075,1,train,0.0034852979333655,0.27637440356392157,0.7342536606290925
S05088,1,train,0.0,0.2096532462901317,1.0
S05120,1,train,0.0,0.3735862950546545,1.0
S05124,1,train,0.0,0.3498261790930337,1.0
S05152,1,train,0.0,0.48226912215533807,1.0
S05158,1,train,0.0,0.37559985640244414,1.0
S05191,1,train,0.0,0.3793038792567905,1.0
S05210,1,train,0.0,0.24742406551239868,1.0
S05269,1,train,0.0,0.4948605950340885,1.0
S05287,1,train,0.0,0.38699534930665475,1.0
S05293,1,train,0.0,0.4102735988725302,1.0
S05340,1,train,0.010195290063182,0.2355929349992104,0.7273805695270832
S05380,1,train,0.0,0.3584170690057084,1.0
S05488,1,train,0.0,0.3340722972474379,1.0
S05552,1,train,0.0034483715637705,0.19416889584762523,0.7350126069100201
S05560,1,train,0.0069424073530849,0.5574938677969598,0.6995791938276845
S05618,1,train,0.0051030361524955,0.253085992568213,0.7093842242949046
S05629,1,train,0.0,0.4900017296486318,1.0
S05632,1,train,0.0,0.5728820638041758,1.0
S05645,1,train,0.0383807493899237,0.46650929460840596,12.597737515836215
