feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero
X397,0.0,0.0037760740166829588,0.0,False,False,True
X398,0.0,0.002259563118370089,0.0,False,False,True
X399,0.0,0.003020098592538733,0.0,False,False,True
X400,0.0,0.001101785554027063,0.0,False,False,True
X403,0.0,0.0009450364252054249,0.0,False,False,True
X405,0.0,0.0005689127982691364,0.0,False,False,True
X406,0.0,0.0008882287198163671,0.0,False,False,True
X407,0.0,0.0015270320637529354,0.0,False,False,True
X409,0.0,0.0006118548795278675,0.0,False,False,True
X411,0.0,0.0009252147919453595,0.0,False,False,True
X415,0.0,0.0010933863235800271,0.0,False,False,True
X418,0.0,0.0008518955939417566,0.0,False,False,True
X420,0.0,0.002736798159191559,4.165307947027109e-05,False,False,False
X425,0.0,0.0012088269968383036,0.0,False,False,True
X428,0.0,0.0009502263936351043,0.0,False,False,True
X429,0.0,0.0009201741759691711,0.0,False,False,True
X430,0.0,0.0006263158589993997,0.0,False,False,True
X431,0.0,0.0005156269069145747,0.0,False,True,True
X432,0.0,0.0005543227975211852,0.0,False,False,True
X433,0.0,0.0005519980860193027,5.992177429679004e-05,False,False,False
X434,0.0,0.0006379787117142804,0.0,False,False,True
X435,0.0,0.0005832033147607986,8.046730671927333e-05,False,False,False
X441,0.0,0.0015574928433704166,5.1350795136651306e-05,False,False,False
X442,0.0,0.0011600020058447522,0.00012256631622481722,False,False,False
X445,0.0,0.0015181578086202422,0.0,False,False,True
X446,0.0,0.0007271779603334965,0.0,False,False,True
X450,0.0,0.0012392874740460625,5.8319958625244596e-05,False,False,False
X453,0.0,0.0017067034760365398,0.0,False,False,True
X454,0.0,0.0004734036886260341,0.0,False,True,True
X461,0.0,0.0017716492123130607,0.00014259018932225636,False,False,False
X462,0.0,0.0004137723669616556,0.0,False,True,True
X465,0.0,0.0016540094716215507,0.0,False,False,True
X466,0.0,0.0009040632051816527,0.0,False,False,True
X467,0.0,0.0,0.0,False,True,True
X468,0.0,0.0,0.0,False,True,True
X469,0.0,0.0,0.0,False,True,True
X470,0.0,0.0,0.0,False,True,True
X471,0.0,4.4552867176021095e-06,0.0,False,True,True
X472,0.0,0.001047486501258868,0.0,False,False,True
X473,0.0,1.4981105372984089e-05,0.0,False,True,True
X474,0.0,0.0004974569423393755,0.0,False,True,True
X475,0.0,0.0,0.0,False,True,True
X476,0.0,0.0,0.0,False,True,True
X477,0.0,0.0,0.0,False,True,True
X479,0.0,0.0004425451031225599,0.0,False,True,True
X480,0.0,0.0008441263624217746,0.0,False,False,True
X481,0.0,0.0019643355655600565,0.0003624401922166231,False,False,False
X482,0.0,0.001313318276248115,0.0,False,False,True
X483,0.0,0.0013150759944183705,0.0,False,False,True
X484,0.0,0.0013957387769769796,8.578242164352531e-05,False,False,False
X485,0.0,0.0007465274278160294,0.0,False,False,True
X486,0.0,0.001045080595896615,0.0,False,False,True
X495,0.0,0.0022735800653766536,0.0,False,False,True
X496,0.0,0.0008629899086667983,0.0,False,False,True
X497,0.0,0.005116056192725781,0.0,False,False,True
X498,0.0,0.0015625671530913724,0.0,False,False,True
X499,0.0,0.0008504541761021236,0.0,False,False,True
X500,0.0,0.000742762560272217,0.0,False,False,True
X501,0.0,0.002229297799568719,7.038658271989912e-05,False,False,False
X502,0.0,0.0006565928671085881,0.0,False,False,True
X512,0.0,0.0,0.0,False,True,True
X514,0.0,0.0016919465106496404,0.0,False,False,True
X548,0.0,0.0006248260880679375,9.180283194574114e-05,False,False,False
X549,0.0,0.0012132600278140116,0.0,False,False,True
X550,0.0,0.0010587710627259607,0.0,False,False,True
X557,0.0,0.0011058244329045011,0.0,False,False,True
X558,0.0,0.0009262617068969861,0.0,False,False,True
X561,0.0,0.0007972625189205176,0.0,False,False,True
X562,0.0,0.0009640177763742994,0.0,False,False,True
X563,0.0,0.0010727813330039238,0.0,False,False,True
X570,0.0,0.001102176819655217,8.072708054167403e-05,False,False,False
X571,0.0,0.0009862962377886987,2.353324832160697e-05,False,False,False
X572,0.0,0.0013297503608879274,0.0,False,False,True
X573,0.0,0.0010492711023733139,0.0,False,False,True
X574,0.0,0.001460103944416727,0.0001396614968992311,False,False,False
X576,0.0,0.0013577677401792213,0.0,False,False,True
X577,0.0,0.0006545314854478107,0.0,False,False,True
X578,0.0,0.0005912038561590221,0.0,False,False,True
X579,0.0,0.0009957013319074727,0.0,False,False,True
X580,0.0,0.0006637490731910077,0.0,False,False,True
X581,0.0,0.0034709797965600184,0.0,False,False,True
X582,0.0,0.0026749289675250853,3.9584682558291956e-05,False,False,False
